***SESSION HEADER***
{
  "Participant": "S22",
  "Timestamp": "16-00-34-19-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;
630.1879;5;0;False;BeforeFade;0.011;Bird;False;False;2.9475;0.0000;(-0.0025, 1.1196, -7.1233);(0.0859, 0.0626, -0.0371, 0.9936);(0.1090, 0.7319, -6.8444);(0.0514, 0.0542, -0.3548, 0.9320);(-0.0053, 0.0000, -4.8077);(-0.5804, 0.0000, 2.8898);
630.2884;5;0;False;Stimuli;0.100;Bird;False;False;2.9475;0.0000;(-0.0027, 1.1197, -7.1236);(0.0860, 0.0619, -0.0370, 0.9937);(0.1090, 0.7314, -6.8447);(0.0519, 0.0544, -0.3544, 0.9321);(-0.0053, 0.0000, -4.8077);(-0.5804, 0.0000, 2.8898);
631.2936;5;0;False;AfterFade;1.005;Bird;False;False;2.9475;0.0000;(-0.0077, 1.1198, -7.1248);(0.0915, 0.0538, -0.0326, 0.9938);(0.0987, 0.7342, -6.8493);(0.0472, 0.0408, -0.3469, 0.9358);(-0.0053, 0.0000, -4.8077);(-0.5804, 0.0000, 2.8898);
633.5275;5;0;False;Estimation;2.234;Bird;False;False;2.9475;3.0739;(-0.0193, 1.1125, -7.1215);(0.1313, 0.0217, -0.0203, 0.9909);(0.0215, 0.7443, -6.8643);(0.1056, -0.0604, -0.3748, 0.9191);(-0.5469, 0.0000, -3.9752);(-0.5804, 0.0000, 2.8898);
641.1451;6;0;False;RepeatFamil;7.618;empty;empty;empty;7.0000;0.0000;(-0.0161, 1.1277, -7.1310);(0.0467, 0.0103, -0.0345, 0.9983);(0.0806, 0.7367, -6.8541);(0.0606, -0.0121, -0.3882, 0.9195);(-0.5469, 0.0000, -3.9752);(0.0000, 0.0000, -7.0000);
644.4626;1;0;False;Init;3.317;empty;empty;empty;7.0000;0.0000;(-0.0080, 1.1210, -7.1258);(0.0742, 0.0421, -0.0332, 0.9958);(0.0837, 0.7435, -6.8561);(0.0508, -0.0116, -0.3876, 0.9204);(-0.5469, 0.0000, -3.9752);(0.0000, 0.0000, -7.0000);
646.1378;1;0;False;Focus;1.675;empty;empty;empty;7.0000;0.0000;(-0.0092, 1.1228, -7.1285);(0.0711, 0.0477, -0.0347, 0.9957);(0.0830, 0.7472, -6.8573);(0.0476, -0.0107, -0.3876, 0.9205);(-0.5469, 0.0000, -3.9752);(0.0000, 0.0000, -7.0000);
646.1490;1;0;False;BeforeFade;0.011;Pidgeon;False;False;5.0289;0.0000;(-0.0092, 1.1228, -7.1285);(0.0710, 0.0476, -0.0348, 0.9957);(0.0830, 0.7472, -6.8574);(0.0476, -0.0104, -0.3874, 0.9206);(-0.5469, 0.0000, -3.9752);(-0.4494, 0.0000, 5.0088);
646.2498;1;0;False;Stimuli;0.101;Pidgeon;False;False;5.0289;0.0000;(-0.0091, 1.1228, -7.1287);(0.0706, 0.0481, -0.0350, 0.9957);(0.0832, 0.7470, -6.8572);(0.0476, -0.0097, -0.3873, 0.9207);(-0.5469, 0.0000, -3.9752);(-0.4494, 0.0000, 5.0088);
647.2547;1;0;False;AfterFade;1.005;Pidgeon;False;False;5.0289;0.0000;(-0.0082, 1.1225, -7.1281);(0.0692, 0.0475, -0.0340, 0.9959);(0.0809, 0.7480, -6.8578);(0.0479, -0.0143, -0.3883, 0.9202);(-0.5469, 0.0000, -3.9752);(-0.4494, 0.0000, 5.0088);
649.2987;1;0;False;Estimation;2.044;Pidgeon;False;False;5.0289;4.5282;(-0.0091, 1.1177, -7.1248);(0.0921, 0.0487, -0.0294, 0.9941);(0.0683, 0.7703, -6.8580);(0.0305, -0.0415, -0.3913, 0.9188);(-0.3692, 0.0000, -2.4869);(-0.4494, 0.0000, 5.0088);
650.9518;2;0;False;Focus;1.653;empty;empty;empty;7.0000;0.0000;(-0.0074, 1.1218, -7.1299);(0.0742, 0.0534, -0.0329, 0.9953);(0.0781, 0.7596, -6.8596);(0.0391, -0.0210, -0.3953, 0.9175);(-0.3692, 0.0000, -2.4869);(0.0000, 0.0000, -7.0000);
